event_id,event_type,title,priority,orx_l1,transferability,likelihood,impact,reported_on,article_count
ev_7d960db91c06,capability_shift,OpenAI explains how its naughty AI agents attacked Hugging Face,0.5518,External Fraud,0.16,2,C,2026-08-26,1
ev_f71241980e25,capability_shift,AI agent suggested installing a malware package. Engineer almost took its advice,0.5415,External Fraud,0.1906,2,C,2026-08-20,1
ev_a26e09ab0dc2,capability_shift,AnonyMousKIT PhaaS uses voice AI agents to phish iPhone passcodes,0.4758,External Fraud,0.2032,2,D,2026-08-25,1
ev_d87176e4fd12,capability_shift,Autonomous AI attacks pose clear and present danger to critical infrastructure,0.4526,External Fraud,0.2158,2,D,2026-08-14,1
ev_c85106fabd51,incident,Armadin and Tenex.ai executed the largest controlled live AI cyberattack on record for a leading global institution.,0.4251,External Fraud,0.2067,2,D,2026-08-22,1
ev_245c9d75cabe,incident,FCA bans trio behind £35.5m scheme designed to bypass visa rules,0.4226,unclassified,0.1906,4,A,,1
ev_7eb6da6e68cb,incident,FCA bans senior manager for lack of honesty and integrity,0.415,unclassified,0.16,4,A,,1
ev_aed66ad1cf2d,capability_shift,Ubiquiti patches three maximum-severity security vulnerabilities that can be exploited remotely without privileges.,0.3771,Employment Practices and Workplace Safety,0.1726,3,C,2026-08-26,1
ev_cab176e7eca6,incident,FCA fines and bans former SVS Securities CEO,0.3576,unclassified,0.2266,4,C,,1
ev_96eed7ffa4bd,incident,33-hour BGP hijack of Softaculous traffic prompts security scramble,0.3248,External Fraud,0.1852,3,D,2026-09-01,2
ev_790a5e32477d,incident,"FBI seizes hacking tools it says China used to attack NASA, DOE, US Senate and other critical networks",0.3207,External Fraud,0.2063,3,D,2026-08-27,1
ev_4d314b5649c4,incident,ATF responds to 'major' cybersecurity incident after ransomware gang's claims,0.3199,External Fraud,0.2032,3,D,2026-08-27,1
ev_daf7df16a280,incident,New malware delivery method using fake OpenAI Codex ads identified.,0.3194,External Fraud,0.2158,3,D,2026-08-25,1
ev_71f5dbc11165,incident,CRPx0 hacking service for dummies claims victim count more than quintupled,0.317,External Fraud,0.1906,3,D,2026-08-27,1
ev_b8f79103a1bd,incident,Attack hides malware in PNGs and drops custom reverse tunnel on victims' machines,0.3169,External Fraud,0.16,3,D,2026-08-31,1
ev_924d0303dc3f,capability_shift,Vulnerability in Siemens Desigo DXR and PXC Controllers allows denial of service via malformed BACnet packets.,0.3157,unclassified,0.2158,4,C,2026-08-18,5
ev_f0833cfdea33,incident,Massive DDoS attack disrupts Norway’s government digital services,0.3145,unclassified,0.16,4,C,2026-08-25,1
ev_91b627f0d96d,incident,TerminalFix campaign deploys a reverse tunnel through multistage intrusion,0.3133,External Fraud,0.16,3,D,2026-08-29,1
ev_dfd306df68ff,incident,Hackers poison popular Rust crates to steal developers' credentials,0.3127,External Fraud,0.2158,3,D,2026-08-21,1
ev_aae5ee5910ef,capability_shift,Hackers abuse npm mirrors to host phishing redirect pages,0.3094,External Fraud,0.1726,3,D,2026-08-25,1
ev_8af6c3b86db3,capability_shift,Critical OS command injection vulnerability identified in Haiwell IoT Cloud HMI Gateway,0.308,unclassified,0.2158,4,C,2026-08-13,1
